filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000000.mp4,2,Angle/side impact,Yes,Yes,No,Yes,"Motorcycle/Scooter, Motorcycle/Scooter",No,"Day, clear",Yes
000001.mp4, 4, Rear-end collisions appear to be the primary type., Unable to determine from the image., Unable to determine from the image.," No evidence to suggest a fire, so likely no.", Likely needed due to the number of vehicles involved and the potential for traffic blockage., Primarily sedans and SUVs., No.," Daytime, snowy/icy conditions.", Yes. The image is low resolution.
000002.mp4, 4, T-bone/Multiple impact," Potentially yes (due to the severity of the crash, it's likely there are injuries, but this is not visually confirmed in the frames).", Likely yes (based on the severity of the crash), Yes (Fire is apparent in the truck), Yes (due to the severity of the accident and to establish liability)," SUV (2), Truck (2).", Yes," Day, clear", Yes (the footage is somewhat low resolution and grainy)
000003.mp4, 2, T-bone, Yes, Yes, No, Yes," Sedan, Van", No, Day/Clear, No
000004.mp4,Unknown (at least 2),Potentially T-Bone or Angle Collision,Unknown,Unknown,Unknown,Likely,"SUV, Truck, Sedan or Coupe",No,"Night, weather unknown",Yes
000005.mp4, 2, T-bone, Possibly, Possibly, Possibly, Yes," SUV, Unidentifiable", Yes," Night, clear", Yes
000006.mp4, 2, T-bone, Unknown, Unknown, Unknown, Yes," Sedan, Motorcycle", No," Night, clear", Yes
000007.mp4, 2, T-bone,  Potentially yes (hard to confirm from the video),  Potentially yes (due to the nature of a T-bone collision and potential for injury)," Potentially no (unless there's fire or a significant need for vehicle extrication, which is not evident)", Yes (traffic accidents typically require police involvement for documentation and investigation),  Appears to be a sedan/small car and potentially an SUV., No," Night, potentially clear."," Yes, the video quality is low and blurry, making it difficult to ascertain specific details."
000008.mp4, 0 (I can only see one vehicle and no accident), N/A, No (Based on visual information), No (Based on visual information), No (Based on visual information), No (Based on visual information), Sedan, No," Night, weather is not apparent but looks clear.", Yes
000009.mp4,2,Side impact (T-Bone),Unknown,Unknown,No,Likely,"SUV, Truck",No,"Night, clear",Yes
000010.mp4, 4," Chain reaction, involving multiple vehicles colliding in sequence", Cannot determine., Cannot determine., Cannot determine.," Likely, due to the number of vehicles involved."," Appears to be a mix of SUVs, sedans and possible trucks.", No.," Day, clear weather.", Yes.
000011.mp4, 2, T-bone, Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image.," Sedan, possible small SUV or hatchback", No," Daytime, unclear weather", Yes
000012.mp4, 1, Single Vehicle, Unknown, Unknown, Unknown, Unknown, Sedan, No," Night, weather appears to be wet/rainy", Yes
000013.mp4, 2, Rear end, No, No, No, Yes, SUV and Sedan, No," Night, Clear", Yes
000014.mp4, 2, T-Bone," Possibly, cannot confirm."," Likely, cannot confirm."," Probably not, cannot confirm."," Likely, cannot confirm."," sedan, sedan", No.," Day, raining.", Yes.
000015.mp4, 0 (There is no evidence of an accident in the frames provided.), N/A, No, No, No, No," White pickup truck, white sedan, Silver sedan, Bicycle.", No," Night, appears wet."," Yes (The resolution is low, making details difficult to discern.)"
000016.mp4, 0, None, No, No, No, No," Bus, Sedan, SUV", No," Day, clear", Yes
000017.mp4, 0 (There is no visible accident in these frames), N/A, No, No, No, No," SUVS, Cars, Motorcycle, Buses", No," Day, clear", Yes
000018.mp4,  Unknown. No accident seen in video., Not Applicable. No accident seen in video., Unknown. No accident seen in video., Unknown. No accident seen in video., Unknown. No accident seen in video.,  Unknown. No accident seen in video., Cannot be determined as no vehicles are seen in accident in video., No.," Night, appears clear.", Yes.
000019.mp4, 2," T-bone (inferred, but difficult to confirm with certainty).", Unknown (difficult to assess from the footage).," Unknown (inferred, but difficult to confirm with certainty).", No.," Yes (inferred, given the nature of the incident)."," SUV, Sedan.", No.," Night, Unknown weather (appears wet)", Yes.
000020.mp4, 0, N/A, No, No, No, No," Sedan, SUV, Taxi", No," Day, clear", Yes
000021.mp4, 0 (No visible crash), N/A (No accident visible), no, no, no, no, Cars and one van are seen., no," Night, rainy/wet", yes
000022.mp4, 2, T-bone (likely based on the vehicle positions)," Likely yes (due to the T-bone accident type, a high chance of injury to driver and front passenger)", Likely yes (based on assumption of possible injury), No (no visible indication of fire or entrapment), Yes (required for accident report and investigation)," sedan, sedan/sports car (hard to tell exactly with the quality of footage)", No," Day, clear", Yes
000023.mp4, 2, T-bone,  Cannot determine with certainty., Cannot determine with certainty., No, Yes," SUV, Truck", No," Night, clear", No
000024.mp4,0,None,No,No,No,No,"SUVs, vans, sedans, trucks, buses",No,Day/Clear,No
000025.mp4, 2, T-bone, Possibly yes (based on the nature of the collision), Possibly yes (due to the potential for injury), No (no indication of fire or hazardous materials), Yes (to investigate and file a report)," Sedan, SUV", No," Day, Clear", No
000026.mp4,,,,,,,,,,
000027.mp4, 2," Cannot determine with certainty, but based on the presence of a tow truck and vehicles stopped closely together, it's possibly a rear-end collision or side-swipe.", Cannot determine.," Cannot determine, but possible due to the presence of emergency vehicles."," Cannot determine, but possible due to the presence of emergency vehicles."," Yes, likely due to the presence of emergency vehicles and a possible accident investigation.", Sedan and potentially a truck or SUV. It is hard to tell for sure because of the low resolution., No.," Day, likely raining or wet conditions.", Yes.
000028.mp4, 2, T-Bone, Cannot determine., Cannot determine., Cannot determine.," Likely, due to the nature of the accident.", Sedan and Truck/SUV, No," Day, clear"," Yes, moderate to low resolution."
000029.mp4, 2, T-bone, Cannot determine, Cannot determine, No, Cannot determine," Truck, Sedan", No," Day, clear", Yes
000030.mp4, 1, Rollover, Unknown, Unknown, Unknown, Unknown, Truck, No," Night, possible rain/wet conditions (based on road reflection)", Yes
000031.mp4, 2, T-bone, Potentially yes., Potentially yes., Potentially no., Yes.," Truck, sedan", No.," Day, weather appears clear.", Yes.
000032.mp4, 2, T-bone (based on the visible trajectories), Undetermined (cannot be determined from the image), Undetermined (cannot be determined from the image), No (no fire visible)," Likely (given the nature of the accident, police presence would be standard)"," Sedan, and potentially a Truck or SUV.", No," Day, clear", Yes
000033.mp4, 2, Side Impact (T-Bone)," Likely yes (due to the severity of the impact, but I cannot confirm visually)", Likely yes (given the potential for injuries from the collision)," Possibly (unclear if there is a fire risk, but might be dispatched as a precaution)", Yes (to investigate the accident and manage the scene), Sedan and Truck, No (I do not see any visual indication of fire), Day/Clear, Yes (the image is blurry and low resolution)
000034.mp4," 0 (Based on the single frame, there is no visible crash. )", N/A, Unknown, Unknown, Unknown, Unknown," Appears to be at least one SUV/Hatchback, possibly sedans.", No," Night, Wet (Rainy)", Yes
000035.mp4, 2, Broadside or T-bone., Unknown., Unknown., No.," Likely, to direct traffic and determine fault.", Looks like a truck and a sedan., No.," Day, snowy.", Yes.
000036.mp4, 2, T-Bone, Yes. A person seems to be ejected from one of the vehicles.," Yes. Given the potential for injury and someone being ejected, an ambulance is likely needed.", No. There is no evidence of fire.," Yes. Traffic accidents, especially those with potential injuries, require police investigation.", Truck and Sedan., No.," Day, likely clear weather."," Yes. The resolution is low and the video quality is poor, making it difficult to assess the situation precisely."
000037.mp4, 1, Rollover, Likely yes, Yes, Unknown, Yes, SUV or Van, No," Day, clear", Yes
000038.mp4, 6," Chain reaction, with elements of rear-end and potentially side impact/t-bone as cars are pushed into each other."," Potentially yes, given the severity of the collision and the number of vehicles involved. It's difficult to confirm from the image alone."," Likely yes, due to the potential for injuries."," Possibly yes, depending on the severity of the damage and potential for fire, although not immediately apparent in the frames."," Yes, to investigate the cause of the accident and manage the scene."," Van, truck, sedan, bus.", No (not visible in the frames)," Day, clear."," Yes, the footage is of low resolution and somewhat shaky, making detailed analysis difficult."
000039.mp4,2,T-bone,Unknown,Unknown,Unknown,Unknown,Van and a truck,No,"Day, Wet",Yes
000040.mp4, 1, Single-vehicle accident (Vehicle appears to have hit an object off the road), Cannot determine from the images, Cannot determine from the images, Cannot determine from the images," Likely yes, due to the nature of the incident", Appears to be a pickup truck or SUV, No," Day, weather appears clear", Yes
000041.mp4, 1, Single Vehicle Accident. The car appears to have lost control and crashed.," Cannot determine with certainty, but based on the impact, likely yes."," Likely yes, due to the severity of the crash.","  Possibly yes, due to smoke that may indicate a fire hazard."," Yes, to investigate the accident.", Sedan," Possibly yes, there appears to be smoke."," Night, wet (based on the road surface)."," Yes, the footage is low resolution and grainy."
000042.mp4,2,T-bone,Likely yes,Likely yes,Likely no,Likely yes,Sedan x 2,No,"Day, clear",Yes
000043.mp4,2,Side-impact/crush.,Cannot determine from the image.,Cannot determine from the image.,Cannot determine from the image.,Cannot determine from the image.,Bus and sedan.,No.,"Day, appears to be clear.",Yes.
000044.mp4,2,Angle/Side Impact,potentially Yes,potentially Yes,no,Yes,Pickup Truck and motorcycle.,no,Day and clear,yes
000045.mp4, 2, T-bone, Yes, Yes, No, Yes," Motorcycle, Sedan", No, Day/Clear, Yes
