filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000000.mp4, 2, T-bone, Yes, Yes (based on injuries seen), No, Yes (standard for accidents with injuries)," Motorbike/Motorcycle, Motorbike/Motorcycle", No," Day, clear", Yes
000001.mp4, 4 or more, Rear-end chain reaction and possibly sideswipe/minor impact., Unable to determine from the footage., Unable to determine from the footage., Unable to determine from the footage., Unable to determine from the footage.," Sedans, SUVs.", No.," Daytime, Snowy/Icy conditions."," Somewhat low resolution, detail is difficult to discern."
000002.mp4, 4, T-Bone and subsequent collisions, Likely Yes, Likely Yes, Yes, Yes, 3 SUVs and 1 Truck, Yes," Day, clear"," Yes, Low Res"
000003.mp4, 2, T-bone, Likely yes (possible pedestrian involvement), Likely yes, No, Yes," Sedan, Van", No," Day, clear", No
000004.mp4,2,It appears to be a T-bone collision.,Cannot determine from the images.,Cannot determine from the images.,Cannot determine from the images.,"Likely, due to the nature of the accident.","SUV, sedan or truck.","No, based on the image.","Night, likely clear.",Yes
000005.mp4, 2, T-bone," Uncertain, but possible given the severity of the impact."," Likely, given the potential for injury."," Possibly, depending on the extent of the damage and the presence of any hazards."," Yes, to investigate and create a report.", Looks like one SUV/Truck and a vehicle with more rounded edges that might be an SUV or sedan.," No, I see no evidence of fire."," Night, weather conditions are impossible to assess with footage."," Yes, the footage is low resolution and somewhat difficult to analyze."
000006.mp4, 2, It appears to be a broadside or T-bone collision., Potentially yes. The severity of the impact suggests the possibility of injuries.," Likely yes, given the nature of the collision."," Possibly no.  There is no visible fire, but firetrucks are sometimes dispatched for serious accidents to assist with extrication."," Yes, a traffic accident of this nature typically requires police investigation.","  It's difficult to determine the exact types, but one vehicle appears to be a sedan, and the other vehicle could be a motorcycle.", No.," Night, weather conditions appear to be clear."," Yes. The footage is low resolution and grainy, making analysis challenging."
000007.mp4, 2, T-bone," Yes (Likely, based on the severity of the impact)"," Yes (Likely, due to the potential for injuries)", No (Not indicated by the images), Yes (Accidents with damage and potential injuries require police investigation), Sedan and an unidentified vehicle (possibly another sedan or SUV), No," Night, weather unclear (appears clear)"," Yes (The footage is low resolution and grainy, making details difficult to discern)"
000008.mp4, 1, Unable to determine from this single frame. It's possible the vehicle is just driving through the intersection., Unknown, Unknown, Unknown, Unknown, Sedan (apparent based on shape), No," Night, weather appears clear", Yes
000009.mp4,It is not possible to definitively determine if an accident occurred with the given frames.,"Cannot be determined with certainty, as there is no visible impact.",Cannot be determined from the footage.,Cannot be determined from the footage.,Cannot be determined from the footage.,Cannot be determined from the footage.,"SUV, Truck (specifically a pickup truck)",No,"Night, weather cannot be determined.",Yes
