filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000000.mp4,2,['side'],True,True,False,True,['motorcycle'],False,"['clear', 'day']",True
000001.mp4,4,['rear'],True,True,False,True,"['sedan', 'suv']",False,"['day', 'snow']",True
000002.mp4,4,['tbone'],True,True,True,True,"['sedan', 'suv', 'truck']",True,"['clear', 'day']",True
000003.mp4,2,['tbone'],True,True,False,True,"['sedan', 'truck', 'van']",False,"['clear', 'day']",False
000004.mp4,2,['tbone'],False,False,False,True,"['sedan', 'suv', 'truck']",False,"['clear', 'night']",True
000005.mp4,2,"['side', 'tbone']",True,True,False,True,"['sedan', 'suv', 'truck']",True,"['clear', 'night']",True
000006.mp4,2,['tbone'],True,True,False,True,"['car', 'motorcycle', 'sedan']",False,"['clear', 'night']",True
000007.mp4,2,['tbone'],True,True,False,True,"['sedan', 'suv']",False,"['clear', 'night']",True
000008.mp4,0,['other'],False,False,False,False,['sedan'],False,"['clear', 'night']",True
000009.mp4,1,"['other', 'side', 'tbone']",False,False,False,False,"['suv', 'truck']",False,"['clear', 'night']",True
000010.mp4,4,"['other', 'rear']",True,True,False,True,"['sedan', 'suv']",False,"['clear', 'day']",True
000011.mp4,2,['tbone'],False,False,False,True,"['sedan', 'taxi']",False,"['clear', 'day']",True
000012.mp4,1,"['tbone', 'unknown']",False,False,False,False,['sedan'],False,"['night', 'rain']",True
000013.mp4,2,"['rear', 'tbone']",True,True,False,True,"['sedan', 'suv']",False,"['clear', 'night']",True
000014.mp4,2,"['side', 'tbone']",True,True,True,True,"['sedan', 'suv']",False,"['day', 'rain']",True
000015.mp4,0,['other'],False,False,False,True,"['sedan', 'suv', 'truck', 'van']",False,['night'],True
000016.mp4,0,['other'],False,False,False,False,"['bus', 'sedan', 'suv']",False,"['clear', 'day']",True
000017.mp4,0,['other'],False,False,False,False,"['motorcycle', 'sedan', 'suv', 'van']",False,"['clear', 'day']",True
000018.mp4,0,['other'],False,False,False,False,['other'],False,"['clear', 'night']",True
000019.mp4,2,['tbone'],True,True,True,True,"['sedan', 'suv']",False,['night'],True
000020.mp4,0,"['none', 'other']",False,False,False,False,"['sedan', 'suv', 'taxi']",False,"['clear', 'day']",True
